ISSN,类别,总引用频次,影响因子,分区,issn,英文全名,中文全名(机器翻译),年文章量,投稿难易度,初审周期,主页,校验,,,,
2168-2216,计算机科学，控制论,6580,5.131,2,2168-2216,IEEE TRANSACTIONS ON SYSTEMS MAN CYBERNETICS-SYSTEMS,美国电气与电子工程师协会系统汇刊-控制论-系统,852,,"超快,1-2周",https://www.ieee.org/membership-catalog/productdetail/showProductDetailPage.html?product=PER127-PRT,相同,,,,
1949-3045,计算机科学，控制论,1333,4.585,2,1949-3045,IEEE TRANSACTIONS ON AFFECTIVE COMPUTING,IEEE情感计算汇刊,45,,>12周，或约稿,https://www.computer.org/web/tac,相同,,,,
0737-0024,计算机科学，控制论,1278,3.379,2,0737-0024,human-computer interaction,人机交互,17,较难,>12周，或约稿,https://www.tandfonline.com/toc/hhci20/current,相同,,,,
0924-1868,计算机科学，控制论,767,2.808,3,0924-1868,user modeling and user-adapted interaction,用户建模和用户适应性交互,12,较易,>12周，或约稿,http://umuai.org/,相同,,,,
2168-2291,计算机科学，控制论,891,2.563,3,2168-2291,IEEE TRANSACTIONS ON HUMAN-MACHINE SYSTEMS,IEEE人机系统汇刊,104,较易,"偏慢,4-8周",http://www.ieeesmc.org/publications/transactions-on-human-machine-systems,相同,,,,
1071-5819,计算机科学，控制论,3735,2.3,3,1071-5819,international journal of human-computer studies,国际人类计算机研究杂志,190,较易,平均24月,https://www.elsevier.com/journals/international-journal-of-human-computer-studies/1071-5819,相同,,,,
1939-1412,计算机科学，控制论,838,1.869,3,1939-1412,IEEE TRANSACTIONS ON HAPTICS,IEEE触觉汇刊,53,较易,"较慢,6-12周",https://www.ieee.org/membership-catalog/productdetail/showProductDetailPage.html?product=PER213-EAC&refProd=MEMC016,相同,,,,
0340-1200,计算机科学，控制论,4659,1.44,3,0340-1200,biological cybernetics,生物控制论,54,容易,"较慢,6-12周",https://link.springer.com/journal/422,相同,,,,
0144-929X,计算机科学，控制论,2129,1.38,3,0144-929X,behaviour & information technology,行为与信息技术,205,命中率约25%,平均6月,http://www.medsci.cn/sci/url.do?id=d8e71006&q=w,相同,,,,
0932-8092,计算机科学，控制论,1854,1.306,3,0932-8092,machine vision and applications,机器视觉与应用,132,容易,"偏慢,4-8周",https://www.springer.com/computer/image+processing/journal/138,相同,,,,
1044-7318,计算机科学，控制论,1460,1.259,4,1044-7318,international journal of human-computer interaction,国际人机交互杂志,168,容易,"一般,3-8周",http://www.medsci.cn/sci/url.do?id=f9f41892&q=w,相同,,,,
0196-9722,计算机科学，控制论,659,1.197,4,0196-9722,cybernetics and systems,控制论与系统,33,容易,>12周，或约稿,https://www.tandfonline.com/toc/ucbs20/current,相同,,,,
1615-5289,计算机科学，控制论,518,1.176,4,1615-5289,UNIVERSAL ACCESS IN THE INFORMATION SOCIETY,信息社会中的普遍获取,160,容易,"一般,3-8周",https://www.springer.com/computer/hci/journal/10209,相同,,,,
1783-7677,计算机科学，控制论,189,1.14,4,1783-7677,JOURNAL ON MULTIMODAL USER INTERFACES,多模式用户界面杂志,24,容易,>12周，或约稿,https://www.springer.com/computer/hci/journal/12193,相同,,,,
0368-492X,计算机科学，控制论,952,0.98,4,0368-492X,"international journal of cybernetics, systems and management sciences",国际控制论系统与管理科学杂志,103,命中率约50%,平均3月,http://www.emeraldgrouppublishing.com/products/journals/journals.htm?id=k,相同,,,,
1073-0516,计算机科学，控制论,894,0.972,4,1073-0516,ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION,计算机与人的交互交流,35,容易,>12周，或约稿,http://tochi.acm.org/,相同,,,,
0953-5438,计算机科学，控制论,1348,0.809,4,0953-5438,interacting with computers,与计算机交互,104,容易,"偏慢,4-8周",https://academic.oup.com/iwc,相同,,,,
0332-7353,计算机科学，控制论,383,0.667,4,0332-7353,modeling identification and control,建模识别与控制,45,容易,>12周，或约稿,https://www.itk.ntnu.no/publikasjoner/mic/mic.html,相同,,,,
0023-5954,计算机科学，控制论,808,0.632,4,0023-5954,International journal published by Institute of Information Theory and Automation,信息理论与自动化研究所出版的国际期刊,64,容易,"较慢,6-12周",http://www.kybernetika.cz/,相同,,,,
1064-2307,计算机科学，控制论,460,0.554,4,1064-2307,journal of computer and systems sciences international,国际计算机与系统科学杂志,81,容易,"较慢,6-12周",https://www.springer.com/engineering/control/journal/11488,相同,,,,
1054-7460,计算机科学，控制论,1590,0.426,4,1054-7460,presence-teleoperators and virtual environments,现场远程操作员和虚拟环境,13,容易,>12周，或约稿,https://www.mitpressjournals.org/loi/pres,相同,,,,
1536-1284,计算机科学、硬件与体系结构,6702,9.202,1,1536-1284,ieee wireless communications,IEEE无线通信,513,较难,"很快,2-3周",https://www.comsoc.org/publications/ieee-communications-society-digital-library,相同,,,,
2162-237X,计算机科学、硬件与体系结构,19867,7.982,1,2162-237X,IEEE Transactions on Neural Networks and Learning Systems,IEEE神经网络与学习系统汇刊,499,较难,"较快,2-4周",http://www.medsci.cn/sci/url.do?id=dec412160&q=w,相同,,,,
0890-8044,计算机科学、硬件与体系结构,3372,7.197,2,0890-8044,ieee network,IEEE网络,338,较难,"较快,2-4周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=65,相同,,,,
1545-5971,计算机科学、硬件与体系结构,1692,4.41,2,1545-5971,ieee transactions on dependable and secure computing,关于可靠和安全计算的IEEE事务,55,一般,"较慢,6-12周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=8858,相同,,,,
1084-8045,计算机科学、硬件与体系结构,5072,3.991,2,1084-8045,journal of network and computer applications,网络与计算机应用杂志,269,较易,"一般,3-6周",http://www.medsci.cn/sci/url.do?id=2a354101&q=w,相同,,,,
1063-6692,计算机科学、硬件与体系结构,7390,3.11,2,1063-6692,ieee-acm transactions on networking,IEEE ACM网络事务,1137,较难,"超快,1-2周",http://www.medsci.cn/sci/url.do?id=da482812&q=w,相同,,,,
0001-0782,计算机科学、硬件与体系结构,17147,3.063,2,0001-0782,communications of the acm,ACM的通信,307,较难,"较快,2-4周",https://cacm.acm.org/,相同,,,,
0018-9340,计算机科学、硬件与体系结构,9595,3.052,2,0018-9340,ieee transactions on computers,IEEE计算机汇刊,332,较难,"较快,2-4周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=12,相同,,,,
1943-0620,计算机科学、硬件与体系结构,2340,2.742,2,1943-0620,Journal of Optical Communications and Networking,光通信与网络杂志,542,,"很快,2-3周",https://www.osapublishing.org/jocn/journal/jocn/about.cfm,相同,,,,
0018-9529,计算机科学、硬件与体系结构,5490,2.729,2,0018-9529,ieee transactions on reliability,IEEE可靠性事务,202,命中率约25%,平均6月,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=24,相同,,,,
1066-8888,计算机科学、硬件与体系结构,2197,2.689,3,1066-8888,vldb journal,VLDB期刊,39,较易,>12周，或约稿,https://link.springer.com/journal/778,相同,,,,
1389-1286,计算机科学、硬件与体系结构,9123,2.522,3,1389-1286,COMPUTER NETWORKS,计算机网络,1192,容易,"超快,1-2周",https://www.journals.elsevier.com/computer-networks,相同,,,,
1383-469X,计算机科学、硬件与体系结构,1810,2.497,3,1383-469X,mobile networks & applications,移动网络和应用程序,269,容易,"一般,3-6周",https://link.springer.com/journal/11036,相同,,,,
0278-0070,计算机科学、硬件与体系结构,4913,2.089,3,0278-0070,ieee transactions on computer-aided design of integrated circuits and systems,IEEE集成电路与系统计算机辅助设计汇刊,333,容易,"较快,2-4周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=43,相同,,,,
1094-3420,计算机科学、硬件与体系结构,829,2.015,3,1094-3420,international journal of high performance computing applications,国际高性能计算应用杂志,41,较易,>12周，或约稿,https://journals.sagepub.com/home/hpc,相同,,,,
0018-9162,计算机科学、硬件与体系结构,6201,1.94,3,0018-9162,computer,计算机,216,容易,"一般,3-6周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=2,相同,,,,
0272-1732,计算机科学、硬件与体系结构,1499,1.913,3,0272-1732,ieee micro,IEEE微,68,较易,"较慢,6-12周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=40,相同,,,,
1070-986X,计算机科学、硬件与体系结构,844,1.898,3,1070-986X,ieee multimedia,ieee多媒体杂志,46,较易,>12周，或约稿,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=93,相同,,,,
0166-5316,计算机科学、硬件与体系结构,1418,1.786,3,0166-5316,performance evaluation,绩效评价,53,较易,"较慢,6-12周",https://www.journals.elsevier.com/performance-evaluation/,相同,,,,
0045-7906,计算机科学、硬件与体系结构,2473,1.747,3,0045-7906,computers & electrical engineering,计算机与电气工程,518,命中率约50%,平均6月,http://www.medsci.cn/sci/url.do?id=e4ba1691&q=w,相同,,,,
1063-8210,计算机科学、硬件与体系结构,5129,1.744,3,1063-8210,ieee transactions on very large scale integration (vlsi) systems,超大规模集成（VLSI）系统的IEEE汇刊,632,容易,"很快,2-3周",https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=5393244&isYear=2010,相同,,,,
0004-5411,计算机科学、硬件与体系结构,6167,1.744,3,0004-5411,journal of the acm,ACM杂志,40,较易,>12周，或约稿,https://jacm.acm.org/,相同,,,,
1550-4832,计算机科学、硬件与体系结构,460,1.672,3,1550-4832,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,计算机系统新兴技术学报,200,,"一般,3-6周",https://jetc.acm.org/,相同,,,,
2168-2356,计算机科学、硬件与体系结构,1199,1.538,3,2168-2356,IEEE DESIGN & TEST,IEEE设计与测试,168,,"一般,3-8周",https://www.ieee.org/membership-catalog/productdetail/showProductDetailPage.html?product=PER311-EPC,相同,,,,
0920-8542,计算机科学、硬件与体系结构,2421,1.532,3,0920-8542,journal of supercomputing,超级计算杂志,505,容易,"很快,2-3周",https://www.springer.com/computer/swe/journal/11227,相同,,,,
1556-6056,计算机科学、硬件与体系结构,303,1.521,3,1556-6056,IEEE COMPUTER ARCHITECTURE LETTERS,IEEE计算机体系结构字母,41,较易,>12周，或约稿,https://www.ieee.org/membership-catalog/productdetail/showProductDetailPage.html?product=PER205-EPC&refProd=MEMC016,相同,,,,
0065-2458,计算机科学、硬件与体系结构,397,1.514,4,0065-2458,advances in computers,计算机进展,18,较易,>12周，或约稿,https://www.elsevier.com/books/book-series/advances-in-computers,相同,,,,
0022-0000,计算机科学、硬件与体系结构,3760,1.497,4,0022-0000,journal of computer and system sciences,计算机与系统科学杂志,111,容易,"偏慢,4-8周",https://www.journals.elsevier.com/journal-of-computer-and-system-sciences/,相同,,,,
0920-5489,计算机科学、硬件与体系结构,1259,1.465,4,0920-5489,computer standards & interfaces,计算机标准和接口,96,容易,"较慢,6-12周",https://www.journals.elsevier.com/computer-standards-and-interfaces/,相同,,,,
2162-2248,计算机科学、硬件与体系结构,259,1.434,4,2162-2248,IEEE CONSUMER ELECTRONICS MAGAZINE,IEEE消费电子杂志,390,容易,"较快,2-4周",http://www.medsci.cn/sci/url.do?id=32d513189&q=w,相同,,,,
2210-5379,计算机科学、硬件与体系结构,175,1.196,4,2210-5379,Sustainable Computing-Informatics & Systems,可持续计算信息学与系统,28,容易,>12周，或约稿,https://www.sciencedirect.com/journal/sustainable-computing-informatics-and-systems,相同,,,,
0141-9382,计算机科学、硬件与体系结构,986,1.175,4,0141-9382,displays,显示器,181,容易,"一般,3-8周",https://www.journals.elsevier.com/displays/,相同,,,,
1539-9087,计算机科学、硬件与体系结构,1214,1.156,4,1539-9087,ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS,嵌入式计算系统的ACM事务,163,容易,"一般,3-8周",https://tecs.acm.org/,相同,,,,
1544-3566,计算机科学、硬件与体系结构,534,1.131,4,1544-3566,ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION,ACM体系结构和代码优化事务,55,容易,"较慢,6-12周",https://dl.acm.org/citation.cfm?id=J924,相同,,,,
0028-3045,计算机科学、硬件与体系结构,2096,1.121,4,0028-3045,networks,网络,58,容易,"较慢,6-12周",https://onlinelibrary.wiley.com/journal/10970037,相同,,,,
0141-9331,计算机科学、硬件与体系结构,825,1.049,4,0141-9331,microprocessors and microsystems,微处理器和微系统,328,容易,"较快,2-4周",https://www.journals.elsevier.com/microprocessors-and-microsystems/,相同,,,,
1936-7406,计算机科学、硬件与体系结构,263,1.014,4,1936-7406,ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS,关于可重构技术和系统的ACM事务,20,容易,>12周，或约稿,https://dl.acm.org/citation.cfm?id=2940351,相同,,,,
0840-8688,计算机科学、硬件与体系结构,234,0.973,4,0840-8688,canadian journal of electrical and computer engineering-revue canadienne de genie electrique et informatique,加拿大电气与计算机工程杂志，加拿大电气与信息评论,52,容易,"较慢,6-12周",http://journal.ieee.ca/,相同,,,,
0018-8646,计算机科学、硬件与体系结构,3100,0.962,4,0018-8646,ibm journal of research and development,IBM研究与开发杂志,53,容易,"较慢,6-12周",http://www.medsci.cn/sci/url.do?id=95bb2786&q=w,相同,,,,
1553-3077,计算机科学、硬件与体系结构,354,0.927,4,1553-3077,ACM TRANSACTIONS ON STORAGE,ACM存储事务,40,容易,>12周，或约稿,https://tos.acm.org/,相同,,,,
1383-7621,计算机科学、硬件与体系结构,840,0.913,4,1383-7621,journal of systems architecture,系统体系结构杂志,92,命中率约25%,平均6月,https://www.journals.elsevier.com/journal-of-systems-architecture/,相同,,,,
0167-9260,计算机科学、硬件与体系结构,609,0.906,4,0167-9260,integration-the vlsi journal,集成VLSI日志,224,容易,"一般,3-6周",https://www.elsevier.com/journals/integration/0167-9260,相同,,,,
1000-9000,计算机科学、硬件与体系结构,926,0.878,4,1000-9000,journal of computer science and technology,计算机科学与技术杂志,101,容易,"偏慢,4-8周",https://www.springer.com/computer/journal/11390,相同,,,,
1084-4309,计算机科学、硬件与体系结构,621,0.87,4,1084-4309,acm transactions on design automation of electronic systems,电子系统设计自动化学报,68,容易,"较慢,6-12周",https://todaes.acm.org/,相同,,,,
0267-6192,计算机科学、硬件与体系结构,168,0.855,4,0267-6192,computer systems science and engineering,计算机系统科学与工程,42,容易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=90fb1725&q=w,相同,,,,
0925-1030,计算机科学、硬件与体系结构,1670,0.8,4,0925-1030,analog integrated circuits and signal processing,模拟集成电路与信号处理,397,容易,"较快,2-4周",http://www.medsci.cn/sci/url.do?id=f3a0397&q=w,相同,,,,
0010-4620,计算机科学、硬件与体系结构,3378,0.792,4,0010-4620,computer journal,计算机期刊,130,命中率约20%,平均3月,https://academic.oup.com/comjnl,相同,,,,
0288-3635,计算机科学、硬件与体系结构,282,0.722,4,0288-3635,new generation computing,新一代计算,23,容易,>12周，或约稿,https://www.springer.com/new+&+forthcoming+titles+%28default%29/journal/354,相同,,,,
1751-8601,计算机科学、硬件与体系结构,269,0.639,4,1751-8601,IET COMPUTERS AND DIGITAL TECHNIQUES,IET计算机和数字技术,27,容易,>12周，或约稿,https://digital-library.theiet.org/content/journals/iet-cdt,相同,,,,
0218-1266,计算机科学、硬件与体系结构,805,0.595,4,0218-1266,journal of circuits systems and computers,电路系统与计算机杂志,414,容易,"较快,2-4周",https://www.worldscientific.com/worldscinet/jcsc,相同,,,,
0929-5585,计算机科学、硬件与体系结构,138,0.516,4,0929-5585,design automation for embedded systems,嵌入式系统设计自动化,14,容易,>12周，或约稿,https://link.springer.com/journal/10617,相同,,,,
1745-1337,计算机科学、硬件与体系结构,1602,0.337,4,1745-1337,ieice transactions on fundamentals of electronics communications and computer sciences,电子通信与计算机科学基础汇刊,779,命中率约62.5%,平均4.5月,https://www.jstage.jst.go.jp/browse/transfun,相同,,,,
1553-877X,计算机科学、信息系统,12217,20.23,1,1553-877X,IEEE COMMUNICATIONS SURVEYS AND TUTORIALS,IEEE通信调查和教程,228,极难,"一般,3-6周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=9739,相同,,,,
1536-1284,计算机科学、信息系统,6702,9.202,1,1536-1284,ieee wireless communications,IEEE无线通信,513,较难,"很快,2-3周",https://www.comsoc.org/publications/ieee-communications-society-digital-library,相同,,,,
2168-7161,计算机科学、信息系统,1066,7.928,1,2168-7161,IEEE Transactions on Cloud Computing,IEEE云计算,空,较难,"12周,或约稿",空,相同,,,,
0890-8044,计算机科学、信息系统,3372,7.197,1,0890-8044,ieee network,IEEE网络,338,较难,"较快,2-4周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=65,相同,,,,
2327-4662,计算机科学、信息系统,2205,5.863,1,2327-4662,IEEE INTERNET OF THINGS JOURNAL,IEEE物联网杂志,864,,"超快,1-2周",http://www.medsci.cn/sci/url.do?id=d6f813191&q=w,相同,,,,
0276-7783,计算机科学、信息系统,15184,5.43,1,0276-7783,mis quarterly,MIS季刊,126,很难,"偏慢,4-8周",https://misq.org/,相同,,,,
0268-3962,计算机科学、信息系统,1170,4.535,1,0268-3962,journal of information technology,信息技术杂志,46,一般,>12周，或约稿,https://www.palgrave.com/cn/journal/41265,相同,,,,
1939-1374,计算机科学、信息系统,1636,4.418,2,1939-1374,IEEE Transactions on Services Computing,IEEE服务计算汇刊,78,,"较慢,6-12周",https://www.computer.org/web/tsc,相同,,,,
1545-5971,计算机科学、信息系统,1692,4.41,2,1545-5971,ieee transactions on dependable and secure computing,关于可靠和安全计算的IEEE事务,55,一般,"较慢,6-12周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=8858,相同,,,,
1932-8184,计算机科学、信息系统,3113,4.337,2,1932-8184,IEEE Systems Journal,IEEE系统杂志,1136,,"超快,1-2周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=4267003,相同,,,,
0963-8687,计算机科学、信息系统,1464,4.313,2,0963-8687,journal of strategic information systems,战略信息系统杂志,44,一般,>12周，或约稿,https://www.journals.elsevier.com/the-journal-of-strategic-information-systems/,相同,,,,
0020-0255,计算机科学、信息系统,25329,4.305,2,0020-0255,information sciences,信息科学,596,命中率约22.5%,平均9月,https://www.elsevier.com/journals/information-sciences/0020-0255,相同,,,,
1067-5027,计算机科学、信息系统,8713,4.27,2,1067-5027,journal of the american medical informatics association,美国医学信息学协会杂志,720,很难,"很快,2-3周",https://academic.oup.com/jamia,相同,,,,
1536-1233,计算机科学、信息系统,7641,4.098,2,1536-1233,ieee transactions on mobile computing,IEEE移动计算汇刊,516,较难,"很快,2-3周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=22,相同,,,,
1520-9210,计算机科学、信息系统,6203,3.977,2,1520-9210,ieee transactions on multimedia,IEEE多媒体汇刊,439,较难,"较快,2-4周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=6046,相同,,,,
1758-2946,计算机科学、信息系统,2117,3.893,2,1758-2946,Journal of cheminformatics,化学信息学杂志,134,,"偏慢,4-8周",https://jcheminf.biomedcentral.com,相同,,,,
0378-7206,计算机科学、信息系统,6406,3.89,2,0378-7206,information & management,信息与管理,174,较难,"一般,3-8周",https://www.journals.elsevier.com/information-and-management/,相同,,,,
2168-2194,计算机科学、信息系统,2922,3.85,2,2168-2194,IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS,IEEE生物医学与健康信息学杂志,282,较易,"一般,3-6周",https://jbhi.embs.org/,相同,,,,
1066-2243,计算机科学、信息系统,2062,3.838,2,1066-2243,INTERNET RESEARCH,互联网研究,120,较易,"偏慢,4-8周",https://www.emeraldinsight.com/loi/intr,相同,,,,
1549-9596,计算机科学、信息系统,14365,3.804,2,1549-9596,journal of chemical information and modeling,化学信息与建模杂志,762,命中率约25%,平均1.5月,https://pubs.acs.org/journal/jcisd8,相同,,,,
2168-6750,计算机科学、信息系统,721,3.626,2,2168-6750,IEEE TRANSACTIONS ON EMERGING TOPICS IN COMPUTING,IEEE计算机新兴主题汇刊,104,,"偏慢,4-8周",http://www.medsci.cn/sci/url.do?id=0a4113035&q=w,相同,,,,
0146-4833,计算机科学、信息系统,6892,3.577,2,0146-4833,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,计算机通信评论,29,一般,>12周，或约稿,https://dl.acm.org/citation.cfm?id=J101,相同,,,,
0167-9236,计算机科学、信息系统,8810,3.565,2,0167-9236,decision support systems,决策支持系统,121,命中率约50%,平均3月,https://www.journals.elsevier.com/decision-support-systems/,相同,,,,
2169-3536,计算机科学、信息系统,6291,3.557,2,2169-3536,IEEE Access,IEEE接入,6065,命中率约37.5%,平均1.7月,http://www.medsci.cn/sci/url.do?id=2f3112850&q=w,相同,,,,
0306-4573,计算机科学、信息系统,3250,3.444,2,0306-4573,information processing & management,信息处理与管理,159,较易,"一般,3-8周",https://www.journals.elsevier.com/information-processing-and-management/,相同,,,,
1932-4537,计算机科学、信息系统,849,3.286,2,1932-4537,IEEE Transactions on Network and Service Management,IEEE网络与服务管理汇刊,84,,"较慢,6-12周",https://www.comsoc.org/publications/journals/ieee-tnsm,相同,,,,
1387-3326,计算机科学、信息系统,1470,3.232,2,1387-3326,information systems frontiers,信息系统前沿,92,一般,"较慢,6-12周",https://www.springer.com/business+&+management/business+information+systems/journal/10796,相同,,,,
0960-085X,计算机科学、信息系统,2597,3.197,2,0960-085X,european journal of information systems,欧洲信息系统杂志,70,一般,"较慢,6-12周",https://www.palgrave.com/cn/journal/41303,相同,,,,
1570-8705,计算机科学、信息系统,4462,3.151,2,1570-8705,AD HOC NETWORKS,自组网,314,,"较快,2-4周",https://www.journals.elsevier.com/ad-hoc-networks/,相同,,,,
1554-0669,计算机科学、信息系统,255,3.125,3,1554-0669,FOUNDATIONS AND TRENDS IN INFORMATION RETRIEVAL,信息检索的基础和趋势,0,,>12周，或约稿,https://www.nowpublishers.com/INR/,相同,,,,
2162-2337,计算机科学、信息系统,2474,3.096,3,2162-2337,IEEE WIRELESS COMMUNICATIONS LETTERS,IEEE无线通信信函,910,,"超快,1-2周",http://www.medsci.cn/sci/url.do?id=83c913036&q=w,相同,,,,
1536-1268,计算机科学、信息系统,2048,3.022,3,1536-1268,ieee pervasive computing,IEEE普及计算,206,较难,"一般,3-6周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=7756,相同,,,,
1574-1192,计算机科学、信息系统,1874,2.974,3,1574-1192,PERVASIVE AND MOBILE COMPUTING,普及移动计算,439,,"较快,2-4周",https://www.journals.elsevier.com/pervasive-and-mobile-computing/,相同,,,,
2157-6904,计算机科学、信息系统,3392,2.973,3,2157-6904,ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY,智能系统与技术交流会,82,命中率约50%,平均3月,https://tist.acm.org/,相同,,,,
1386-5056,计算机科学、信息系统,4584,2.957,3,1386-5056,international journal of medical informatics,国际医学信息学杂志,439,命中率约25%,平均3月,https://www.elsevier.com/journals/international-journal-of-medical-informatics/1386-5056,相同,,,,
2325-6095,计算机科学、信息系统,417,2.912,3,2325-6095,IEEE CLOUD COMPUTING,IEEE云计算,空,较易,"12周,或约稿",空,相同,,,,
1536-9323,计算机科学、信息系统,1842,2.839,3,1536-9323,JOURNAL OF THE ASSOCIATION FOR INFORMATION SYSTEMS,信息系统协会杂志,61,较易,"较慢,6-12周",https://aisel.aisnet.org/jais/,相同,,,,
2330-1635,计算机科学、信息系统,1904,2.835,3,2330-1635,JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY,信息科学与技术协会杂志,476,,平均3月,https://onlinelibrary.wiley.com/journal/23301643,相同,,,,
1570-7873,计算机科学、信息系统,687,2.8,3,1570-7873,Journal of Grid Computing,网格计算杂志,30,较易,>12周，或约稿,https://www.springer.com/computer/communication+networks/journal/10723,相同,,,,
1041-4347,计算机科学、信息系统,9373,2.775,3,1041-4347,ieee transactions on knowledge and data engineering,IEEE知识与数据工程汇刊,383,较易,"较快,2-4周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=69,相同,,,,
0742-1222,计算机科学、信息系统,4560,2.744,3,0742-1222,journal of management information systems,管理信息系统杂志,92,较易,"较慢,6-12周",https://www.routledge.com/posts/8417,相同,,,,
1943-0620,计算机科学、信息系统,2340,2.742,3,1943-0620,Journal of Optical Communications and Networking,光通信与网络杂志,542,,"很快,2-3周",https://www.osapublishing.org/jocn/journal/jocn/about.cfm,相同,,,,
1066-8888,计算机科学、信息系统,2197,2.689,3,1066-8888,vldb journal,VLDB期刊,39,较易,>12周，或约稿,https://link.springer.com/journal/778,相同,,,,
0167-4048,计算机科学、信息系统,2630,2.65,3,0167-4048,computers & security,计算机与安全,150,容易,"一般,3-8周",https://www.elsevier.com/journals/computers-and-security/0167-4048,相同,,,,
0950-5849,计算机科学、信息系统,3567,2.627,3,0950-5849,information and software technology,信息与软件技术,110,较易,"偏慢,4-8周",https://www.journals.elsevier.com/information-and-software-technology,相同,,,,
0140-3664,计算机科学、信息系统,4814,2.613,3,0140-3664,computer communications,计算机通信,812,命中率约25%,平均12月,http://www.medsci.cn/sci/url.do?id=8cf11685&q=w,相同,,,,
1867-0202,计算机科学、信息系统,696,2.596,3,1867-0202,BUSINESS & INFORMATION SYSTEMS ENGINEERING,商业与信息系统工程,41,较易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=1c1511102&q=w,相同,,,,
1094-9224,计算机科学、信息系统,843,2.591,3,1094-9224,ACM TRANSACTIONS ON INFORMATION AND SYSTEM SECURITY,ACM信息和系统安全事务,0,较易,>12周，或约稿,https://tops.acm.org/,相同,,,,
1567-4223,计算机科学、信息系统,1789,2.582,3,1567-4223,Electronic Commerce Research and Applications,电子商务研究与应用,45,较易,>12周，或约稿,https://www.journals.elsevier.com/electronic-commerce-research-and-applications/,相同,,,,
0306-4379,计算机科学、信息系统,1790,2.551,3,0306-4379,information systems,信息系统,117,较易,"偏慢,4-8周",http://www.medsci.cn/sci/url.do?id=0dbe3137&q=w,相同,,,,
1389-1286,计算机科学、信息系统,9123,2.522,3,1389-1286,COMPUTER NETWORKS,计算机网络,1192,容易,"超快,1-2周",https://www.journals.elsevier.com/computer-networks,相同,,,,
1383-469X,计算机科学、信息系统,1810,2.497,3,1383-469X,mobile networks & applications,移动网络和应用程序,269,容易,"一般,3-6周",https://link.springer.com/journal/11036,相同,,,,
1384-5810,计算机科学、信息系统,2876,2.481,3,1384-5810,data mining and knowledge discovery,数据挖掘和知识发现,61,较易,"较慢,6-12周",https://link.springer.com/journal/10618,相同,,,,
1365-8816,计算机科学、信息系统,5019,2.37,3,1365-8816,international journal of geographical information science,国际地理信息科学杂志,357,命中率约50%,平均4月,http://www.medsci.cn/sci/url.do?id=f3641878&q=w,相同,,,,
1550-4859,计算机科学、信息系统,1442,2.313,3,1550-4859,ACM TRANSACTIONS ON SENSOR NETWORKS,传感器网络上的ACM事务,68,较易,"较慢,6-12周",http://www.medsci.cn/sci/url.do?id=6c099720&q=w,相同,,,,
0219-1377,计算机科学、信息系统,2343,2.247,3,0219-1377,knowledge and information systems,知识和信息系统,125,命中率约50%,平均12月,https://www.springer.com/computer/information+systems+and+applications/journal/10115,相同,,,,
1570-0844,计算机科学、信息系统,522,2.224,3,1570-0844,Semantic Web,语义网,55,较易,"较慢,6-12周",https://www.w3.org/standards/semanticweb/,相同,,,,
1674-733X,计算机科学、信息系统,2034,2.188,3,1674-733X,SCIENCE CHINA-INFORMATION SCIENCES,科学中国信息科学,558,,"很快,2-3周",https://www.springer.com/computer/information+systems+and+applications/journal/11432,相同,,,,
0018-9448,计算机科学、信息系统,35751,2.187,3,0018-9448,ieee transactions on information theory,IEEE信息理论汇刊,899,命中率约25%,平均14月,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=18,相同,,,,
